method,model,dataset_version,test_file_sha256,metric,n_seeds,n_values,seed_list,seed_42,seed_43,seed_44,mean,std,ci_low,ci_high,ci_note
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_aggregate_accuracy,2,2,"43,44",,80.33,85.36,82.845,3.556747109368335,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_mapping_exact_accuracy,2,2,"43,44",,82.85,86.5,84.675,2.5809397513309023,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_aggregate,2,2,"43,44",,82.85,87.23,85.03999999999999,3.097127701597085,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,avg_latency_ms,2,2,"43,44",,38749.0,39036.4,38892.7,203.2224889130148,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,paraphrase_accuracy,2,2,"43,44",,81.75,84.31,83.03,1.8101933598375632,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,paraphrase_consistency,2,2,"43,44",,81.39,86.86,84.125,3.867874093090414,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,missing_info_clarification_rate,2,2,"43,44",,0.0,0.0,0.0,0.0,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,missing_info_schema_rate,2,2,"43,44",,87.59,88.69,88.14,0.7778174593051983,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,supported_claim_rate,2,0,"43,44",,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_recall_at_3,2,0,"43,44",,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_mrr_at_3,2,0,"43,44",,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_ndcg_at_3,2,0,"43,44",,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_query_coverage,2,0,"43,44",,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_top_3_support_rate,2,0,"43,44",,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,json_parse_rate,1,1,42,86.13,,,86.13,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,schema_validity_rate,1,1,42,0.0,,,0.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_object_rate,1,1,42,86.13,,,86.13,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,completeness_score,1,1,42,0.8613,,,0.8613,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,top_1_accuracy,1,1,42,83.94,,,83.94,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,macro_f1,1,1,42,0.5302,,,0.5302,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_task_classification,1,1,42,83.21,,,83.21,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_kpi_selection,1,1,42,85.4,,,85.4,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_mapping_count,1,1,42,86.13,,,86.13,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_encoding,1,1,42,83.94,,,83.94,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_x_accuracy,1,1,42,84.31,,,84.31,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_y_accuracy,1,1,42,85.04,,,85.04,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_aggregate_accuracy,1,1,42,85.36,,,85.36,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_mapping_exact_accuracy,1,1,42,84.31,,,84.31,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_aggregate,1,1,42,85.77,,,85.77,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,avg_latency_ms,1,1,42,22464.0,,,22464.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,paraphrase_accuracy,1,1,42,83.94,,,83.94,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,paraphrase_consistency,1,1,42,83.58,,,83.58,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,missing_info_clarification_rate,1,1,42,0.0,,,0.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,missing_info_schema_rate,1,1,42,90.15,,,90.15,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,supported_claim_rate,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_recall_at_3,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_mrr_at_3,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_ndcg_at_3,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_query_coverage,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-8B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_top_3_support_rate,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,json_parse_rate,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,schema_validity_rate,1,1,42,0.0,,,0.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_object_rate,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,completeness_score,1,1,42,1.0,,,1.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,top_1_accuracy,1,1,42,96.72,,,96.72,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,macro_f1,1,1,42,0.7625,,,0.7625,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_task_classification,1,1,42,96.35,,,96.35,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_kpi_selection,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_mapping_count,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_encoding,1,1,42,98.18,,,98.18,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_x_accuracy,1,1,42,98.18,,,98.18,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_y_accuracy,1,1,42,99.64,,,99.64,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_aggregate_accuracy,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_mapping_exact_accuracy,1,1,42,98.18,,,98.18,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_aggregate,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,avg_latency_ms,1,1,42,76232.6,,,76232.6,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,paraphrase_accuracy,1,1,42,96.72,,,96.72,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,paraphrase_consistency,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,missing_info_clarification_rate,1,1,42,0.0,,,0.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,missing_info_schema_rate,1,1,42,100.0,,,100.0,,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,supported_claim_rate,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_recall_at_3,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_mrr_at_3,1,0,42,,,,,,,,metric unavailable in source runs
